"cname","sname","Sequence","Order","Suborder","Infraorder","Family","Genus","Adult.survival","Age.at.first.breeding","Maximum.longevity","Z","GenFLS","GenFL","GenFS","GenLength","Priority.for.research","rmax1","perc_growth","resid"
"White-tailed Hummingbird","Eupherusa poliocerca",1444,"CAPRIMULGIFORMES","CAPRIMULGIFORMES","CAPRIMULGIFORMES","Trochilidae","Eupherusa",0.522440606,0.910592841,7.340520341,0.142143345,1.929411825,1.824564244,2.004573218,1.929411825,"Low",0.409552636748832,50.614384096975,0.00283843919107335
"Virginia's Warbler","Leiothlypis virginiae",10547,"PASSERIFORMES","PASSERI","PASSEROID OSCINES","Parulidae","Leiothlypis",0.468786365,1.046082499,7.265299632,0.142143345,1.89356261,1.930102826,1.928564299,1.930102826,"Low",0.399229083888555,49.0675069136911,0.0130914747448495
"Grey Partridge","Perdix perdix",348,"GALLIFORMES","GALLIFORMES","GALLIFORMES","Phasianidae","Perdix",0.48,1,7.565475965,0.142143345,1.900469793,1.933238715,1.923076923,1.933238715,"High",0.404671925484674,49.8810697794039,0.00732893454515149
"Orange-flanked Bush-robin","Tarsiger cyanurus",9196,"PASSERIFORMES","PASSERI","MUSCICAPOID OSCINES","Muscicapidae","Tarsiger",0.445848137,1,7.570748881,0.142143345,1.792049284,1.933988225,1.804559484,1.933988225,"Low",0.413544681099617,51.2168451236362,-0.00162015440882124
"Yellow-throated Euphonia","Euphonia hirundinacea",10007,"PASSERIFORMES","PASSERI","PASSEROID OSCINES","Fringillidae","Euphonia",0.500546628,0.938175019,7.983081322,0.142143345,1.908714847,1.939561566,1.940363924,1.939561566,"Low",0.410658755816111,50.7810737113161,0.000699096995772031
"Hispaniolan Crossbill","Loxia megaplaga",10180,"PASSERIFORMES","PASSERI","PASSEROID OSCINES","Fringillidae","Loxia",0.530882342,0.945746565,6.314174813,0.142143345,1.940012042,1.708832914,2.077407957,1.940012042,"Medium",0.400332867647841,49.2321360476275,0.0109792547694414
"Sprague's Pipit","Anthus spragueii",9938,"PASSERIFORMES","PASSERI","PASSEROID OSCINES","Motacillidae","Anthus",0.507169193,0.972313546,6.653589474,0.142143345,1.940463213,1.77986911,2.001407478,1.940463213,"Low",0.402320658188552,49.5290733027923,0.00894567405996005
"Williamson's Sapsucker","Sphyrapicus thyroideus",3899,"PICIFORMES","PICIFORMES","PICIFORMES","Picidae","Sphyrapicus",0.491970801,1.022984248,7.086076071,0.142143345,1.942203555,1.884812401,1.991375045,1.942203555,"Low",0.397295572499948,48.779561653828,0.0137942302023134
"Purple-throated Mountain-gem","Lampornis calolaemus",1525,"CAPRIMULGIFORMES","CAPRIMULGIFORMES","CAPRIMULGIFORMES","Trochilidae","Lampornis",0.510127501,0.937881527,7.97692719,0.142143345,1.942372353,1.938435023,1.979229025,1.942372353,"Low",0.407947750567176,50.3728590151528,0.00312493882809428
"White-throated Mountain-gem","Lampornis castaneoventris",1527,"CAPRIMULGIFORMES","CAPRIMULGIFORMES","CAPRIMULGIFORMES","Trochilidae","Lampornis",0.510127501,0.937881527,7.952801371,0.142143345,1.942372353,1.935005699,1.979229025,1.942372353,"Low",0.407947750567176,50.3728590151528,0.00312493882809428
"Connecticut Warbler","Oporornis agilis",10549,"PASSERIFORMES","PASSERI","PASSEROID OSCINES","Parulidae","Oporornis",0.51322268,1,6.183759445,0.142143345,1.942642126,1.736836907,2.054327428,1.942642126,"Low",0.395569098406815,48.5229192020652,0.0154762436224134
"Pied Wheatear","Oenanthe pleschanka",9315,"PASSERIFORMES","PASSERI","MUSCICAPOID OSCINES","Muscicapidae","Oenanthe",0.464800967,1,7.642113161,0.142143345,1.850998577,1.944132183,1.868463765,1.944132183,"Low",0.408678264879505,50.4827486739465,0.00221609663242295
